date,open,high,low,close,adj close,volume
2001-09-17,57.509998,58.959999,56.680000,56.889999,56.889999,13850000
2001-09-18,56.810001,57.520000,55.759998,57.520000,57.520000,11470000
2001-09-19,57.480000,58.700001,57.360001,57.730000,57.730000,12600000
2001-09-20,57.610001,59.310001,57.430000,59.310001,59.310001,12050000
2001-09-21,60.080002,60.439999,57.980000,58.200001,58.200001,13140000
2001-09-24,57.630001,57.630001,55.900002,56.310001,56.310001,11900000
2001-09-25,56.220001,56.669998,55.639999,55.669998,55.669998,11200000
2001-09-26,55.860001,58.259998,55.860001,57.770000,57.770000,12040000
2001-09-27,57.439999,58.389999,57.000000,57.849998,57.849998,8730000
2001-09-28,57.750000,58.630001,57.310001,57.790001,57.790001,9660000
2001-10-01,57.439999,58.900002,56.919998,58.750000,58.750000,9050000
2001-10-02,59.060001,59.650002,58.290001,59.150002,59.150002,9610000
2001-10-03,59.029999,59.150002,56.480000,56.810001,56.810001,10000000
2001-10-04,57.310001,57.549999,56.430000,56.509998,56.509998,9460000
2001-10-05,56.820000,58.020000,56.669998,57.970001,57.970001,7570000
2001-10-08,58.439999,58.820000,56.830002,57.099998,57.099998,6680000
2001-10-09,56.820000,56.820000,55.180000,55.259998,55.259998,5740000
2001-10-10,55.430000,55.630001,53.599998,53.599998,53.599998,8430000
2001-10-11,53.200001,53.200001,51.880001,51.980000,51.980000,9000000
2001-10-12,52.599998,55.220001,52.599998,54.439999,54.439999,6040000
2001-10-15,54.220001,55.290001,54.060001,54.119999,54.119999,5740000
2001-10-16,53.939999,55.389999,53.650002,55.389999,55.389999,6540000
2001-10-17,55.290001,56.240002,54.389999,56.189999,56.189999,8620000
2001-10-18,55.599998,55.660000,54.000000,54.070000,54.070000,9670000
2001-10-19,53.770000,54.200001,52.740002,52.740002,52.740002,7460000
2001-10-22,52.490002,52.599998,51.480000,51.480000,51.480000,6220000
2001-10-23,51.689999,52.389999,51.450001,51.790001,51.790001,8320000
2001-10-24,52.009998,52.700001,51.950001,52.340000,52.340000,7510000
2001-10-25,52.480000,54.209999,52.470001,53.230000,53.230000,7180000
2001-10-26,53.419998,53.419998,52.540001,52.939999,52.939999,11310000
2001-10-29,53.130001,53.790001,52.990002,53.029999,53.029999,7690000
2001-10-30,53.610001,55.000000,53.459999,54.520000,54.520000,9120000
2001-10-31,54.450001,54.619999,53.669998,54.529999,54.529999,7860000
2001-11-01,54.599998,54.700001,53.950001,54.480000,54.480000,7680000
2001-11-02,54.549999,55.840000,54.230000,55.830002,55.830002,6460000
2001-11-05,55.389999,55.389999,54.680000,55.200001,55.200001,7350000
2001-11-06,55.090000,55.880001,54.810001,55.080002,55.080002,9350000
2001-11-07,55.290001,56.209999,55.279999,56.020000,56.020000,8970000
2001-11-08,55.910000,56.590000,53.860001,53.869999,53.869999,8130000
2001-11-09,53.980000,54.730000,53.939999,54.720001,54.720001,6750000
2001-11-12,55.410000,56.139999,54.630001,54.639999,54.639999,6220000
2001-11-13,54.200001,54.200001,53.320000,53.419998,53.419998,10850000
2001-11-14,53.849998,54.740002,52.849998,52.930000,52.930000,9580000
2001-11-15,52.599998,52.599998,51.340000,51.939999,51.939999,8620000
2001-11-16,51.779999,51.790001,50.020000,50.910000,50.910000,9510000
2001-11-19,50.810001,50.810001,49.230000,49.459999,49.459999,13630000
2001-11-20,49.610001,50.389999,49.610001,50.340000,50.340000,8800000
2001-11-21,50.259998,50.840000,49.869999,49.889999,49.889999,7080000
2001-11-23,49.919998,50.080002,49.770000,49.830002,49.830002,2130000
2001-11-26,49.990002,50.110001,49.740002,49.830002,49.830002,8120000
2001-11-27,49.939999,51.450001,49.939999,51.450001,51.450001,9110000
2001-11-28,51.540001,52.660000,51.540001,52.090000,52.090000,11560000
2001-11-29,52.110001,52.369999,51.660000,51.700001,51.700001,10350000
2001-11-30,51.900002,52.740002,51.869999,52.570000,52.570000,10280000
2001-12-03,52.799999,53.590000,52.759998,53.380001,53.380001,8960000
2001-12-04,53.150002,53.279999,52.520000,52.930000,52.930000,10960000
2001-12-05,53.259998,53.439999,52.790001,53.360001,53.360001,25260000
2001-12-06,53.340000,54.169998,53.310001,54.119999,54.119999,10380000
2001-12-07,53.939999,54.279999,52.849998,52.889999,52.889999,8760000
2001-12-10,52.930000,52.939999,51.889999,52.439999,52.439999,9570000
2001-12-11,52.139999,52.410000,51.750000,52.330002,52.330002,8510000
2001-12-12,52.430000,53.759998,52.430000,53.610001,53.610001,10050000
2001-12-13,53.590000,54.099998,53.130001,53.650002,53.650002,10140000
2001-12-14,53.970001,55.730000,53.950001,55.730000,55.730000,6970000
2001-12-17,55.590000,55.610001,54.720001,55.090000,55.090000,8530000
2001-12-18,55.200001,56.849998,55.200001,56.779999,56.779999,8870000
2001-12-19,55.950001,56.310001,54.410000,54.410000,54.410000,9870000
2001-12-20,54.590000,55.700001,54.590000,55.590000,55.590000,8320000
2001-12-21,55.610001,56.099998,54.980000,54.980000,54.980000,7830000
2001-12-24,54.860001,55.500000,54.830002,55.189999,55.189999,2950000
2001-12-26,55.099998,55.520000,54.660000,54.730000,54.730000,6290000
2001-12-27,54.470001,54.470001,53.919998,54.110001,54.110001,6600000
2001-12-28,54.119999,54.349998,53.520000,53.560001,53.560001,8180000
2001-12-31,53.540001,55.110001,53.389999,54.430000,54.430000,6580000
2002-01-02,54.400002,54.950001,54.000000,54.799999,54.799999,6780000
2002-01-03,55.049999,55.889999,54.840000,55.709999,55.709999,10970000
2002-01-04,55.680000,56.029999,55.430000,55.950001,55.950001,8940000
2002-01-07,56.029999,57.080002,56.020000,56.869999,56.869999,6980000
2002-01-08,56.810001,56.970001,55.650002,55.869999,55.869999,8310000
2002-01-09,56.470001,58.279999,56.470001,58.070000,58.070000,9340000
2002-01-10,58.549999,59.000000,58.049999,58.560001,58.560001,9480000
2002-01-11,58.330002,58.740002,57.730000,58.500000,58.500000,10610000
2002-01-14,58.200001,58.759998,58.049999,58.529999,58.529999,9550000
2002-01-15,58.130001,59.660000,58.040001,59.560001,59.560001,11290000
