date,open,high,low,close,volume,sma_30
2020-10-22,12780.75,13185.0,12678.08,12968.52,70038.824144,11134.694666666666
2020-10-23,12968.84,13027.69,12720.08,12923.07,50386.999841,11224.081666666665
2020-10-24,12923.06,13166.73,12870.0,13111.73,35952.20907,11303.262
2020-10-25,13111.73,13350.0,12888.0,13028.83,38481.579504,11381.333999999999
2020-10-26,13029.64,13238.81,12765.0,13052.19,60951.672986,11458.787
2020-10-27,13052.15,13789.29,13019.87,13636.17,80796.553996,11554.184333333335
2020-10-28,13636.16,13859.48,12888.0,13266.4,94440.561226,11639.860333333334
2020-10-29,13266.4,13642.91,12920.77,13455.7,74872.602132,11727.034333333333
2020-10-30,13455.69,13669.98,13115.0,13560.1,70657.778881,11819.818
2020-10-31,13560.1,14100.0,13411.5,13791.0,67339.238515,11925.546999999999
2020-11-01,13791.0,13895.0,13603.0,13761.5,36285.648526,12031.916999999998
2020-11-02,13761.49,13830.0,13195.05,13549.37,64566.421908,12132.160666666665
2020-11-03,13549.63,14066.11,13284.99,14023.53,74115.630787,12244.057333333332
2020-11-04,14023.53,14259.0,13525.0,14144.01,93016.988262,12355.784000000001
2020-11-05,14144.01,15750.0,14093.56,15590.02,143741.522673,12522.129333333334
2020-11-06,15590.02,15960.0,15166.0,15579.92,122618.197695,12685.913666666667
2020-11-07,15579.93,15753.52,14344.22,14818.3,101431.206553,12815.671333333334
2020-11-08,14818.3,15650.0,14703.88,15475.1,65547.178574,12963.153333333332
2020-11-09,15475.1,15840.0,14805.54,15328.41,108976.334134,13097.659666666668
2020-11-10,15328.41,15460.0,15072.46,15297.21,61681.919606,13228.599333333334
2020-11-11,15297.21,15965.0,15272.68,15684.24,78469.746458,13367.132333333335
2020-11-12,15684.25,16340.7,15440.64,16291.86,102196.356592,13529.509
2020-11-13,16291.85,16480.0,15952.35,16320.7,75691.881014,13692.936
2020-11-14,16320.04,16326.99,15670.0,16070.45,59116.347179,13845.113666666668
2020-11-15,16069.56,16180.0,15774.72,15957.0,43596.841513,13999.703000000001
2020-11-16,15957.0,16880.0,15864.0,16713.57,81300.675924,14178.148666666666
2020-11-17,16713.08,17858.82,16538.0,17659.38,115221.403102,14383.356666666665
2020-11-18,17659.38,18476.93,17214.45,17776.12,149019.788134,14584.178333333333
2020-11-19,17777.75,18179.8,17335.65,17802.82,93009.561008,14780.606
2020-11-20,17802.81,18815.22,17740.04,18655.67,88423.018489,14976.429666666667
2020-11-21,18655.66,18965.9,18308.58,18703.8,75577.458394,15167.605666666668
2020-11-22,18703.8,18750.0,17610.86,18414.43,81645.737778,15350.651000000002
2020-11-23,18413.88,18766.0,18000.0,18368.0,82961.506093,15525.859999999999
2020-11-24,18368.01,19418.97,18018.0,19160.01,113581.509241,15730.232666666669
2020-11-25,19160.0,19484.21,18500.27,18719.11,93266.576887,15919.130000000001
2020-11-26,18718.83,18915.03,16188.0,17149.47,181005.246693,16036.239999999998
2020-11-27,17149.47,17457.62,16438.08,17139.52,85297.024787,16165.344000000001
2020-11-28,17139.53,17880.49,16865.56,17719.85,64910.69997,16307.482333333332
2020-11-29,17719.84,18360.05,17517.0,18184.99,55329.016303,16461.645333333334
2020-11-30,18185.0,19863.16,18184.99,19695.87,115463.466888,16658.474333333335
2020-12-01,19695.87,19888.0,18001.12,18764.96,127698.762652,16825.256333333335
2020-12-02,18764.96,19342.0,18330.0,19204.09,75911.013478,17013.747
2020-12-03,19204.08,19598.0,18867.2,19421.9,66689.391279,17193.692666666666
2020-12-04,19422.34,19527.0,18565.31,18650.52,71283.6682,17343.909666666666
2020-12-05,18650.51,19177.0,18500.0,19147.66,42922.748573,17462.497666666666
2020-12-06,19147.66,19420.0,18857.0,19359.4,37043.091861,17588.480333333333
2020-12-07,19358.67,19420.91,18902.88,19166.9,41372.296293,17733.433666666668
2020-12-08,19166.9,19294.84,18200.0,18324.11,61626.947614,17828.40066666667
2020-12-09,18324.11,18639.57,17650.0,18541.28,79585.553801,17935.496333333333
2020-12-10,18541.29,18557.32,17911.12,18254.63,52890.675094,18034.077
2020-12-11,18254.81,18292.73,17572.33,18036.53,72610.724259,18112.48666666667
2020-12-12,18036.53,18948.66,18020.7,18808.69,49519.978432,18196.381
2020-12-13,18808.69,19411.0,18711.12,19174.99,56560.821744,18291.523999999998
2020-12-14,19174.99,19349.0,19000.0,19273.14,47257.201294,18398.280333333336
2020-12-15,19273.69,19570.0,19050.0,19426.43,61834.366011,18513.928000000004
2020-12-16,19426.43,21560.0,19278.6,21335.52,114306.33557,18667.993
2020-12-17,21335.52,23800.0,21230.0,22797.16,184882.476748,18839.25233333333
2020-12-18,22797.15,23285.18,22350.0,23107.39,79646.134315,19016.961333333333
2020-12-19,23107.39,24171.47,22750.0,23821.61,86045.064677,19217.587666666666
2020-12-20,23821.6,24295.0,23060.0,23455.52,76690.145685,19377.582666666665
2020-12-21,23455.54,24102.77,21815.0,22719.71,88030.297243,19511.446333333333
2020-12-22,22719.88,23837.1,22353.4,23810.79,87033.12616,19691.325
2020-12-23,23810.79,24100.0,22600.0,23232.76,119047.259733,19853.483666666667
2020-12-24,23232.39,23794.43,22703.42,23729.2,69013.834252,20005.789999999997
2020-12-25,23728.99,24789.86,23433.6,24712.47,79519.943569,20205.56866666667
2020-12-26,24712.47,26867.03,24500.0,26493.39,97806.513386,20517.032666666666
2020-12-27,26493.4,28422.0,25700.0,26281.66,148455.586214,20821.770666666667
2020-12-28,26281.54,27500.0,26101.0,27079.41,79721.742496,21133.756
